,Unnamed: 0,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
0,0,P3,1,7,1,-450.0,-12.60412912808349,46.42650976699952,46.77620920300251,126.0,3.5291561558633773,65.0,1.8205964296120596,-61.0,-1.7085597262513177,-1.3897742479966837
2,2,P3,1,6,1,-450.0,-12.60412912808349,58.97639008999977,59.20975729600468,84.0,2.3527707705755847,-5.0,-0.1400458792009276,-89.0,-2.492816649776512,-0.1564442079907166
7,7,P3,1,4,1,-450.0,-12.60412912808349,87.49391130299773,87.47702748900338,0.0,0.0,-67.0,-1.8766147812924308,-67.0,-1.8766147812924308,-0.0396708619955461
10,10,P3,1,1,1,-450.0,-12.60412912808349,0.0,103.73979279500054,-126.0,-3.5291561558633773,-136.0,-3.809247914265233,-10.0,-0.2800917584018553,-0.4436056379927322
11,11,P3,1,5,1,-450.0,-12.60412912808349,109.59408193000128,109.71070850099932,42.0,1.1763853852877924,-24.0,-0.6722202201644528,-66.0,-1.8486056054522453,-0.0895308909966843
12,12,P3,1,2,1,-450.0,-12.60412912808349,0.0,114.97744909700124,-84.0,-2.3527707705755847,-121.0,-3.389110276662449,-37.0,-1.0363395060868643,-0.0570586929970886
13,13,P3,1,3,1,-450.0,-12.60412912808349,0.0,120.34468898900376,-42.0,-1.1763853852877924,-102.0,-2.856935935698924,-60.0,-1.680550550411132,-0.1562836779921781
15,15,P3,2,2,1,-450.0,-12.60412912808349,0.0,185.9453974610005,-84.0,-2.3527707705755847,-119.0,-3.3330919249820785,-35.0,-0.9803211544064936,-0.4731755619941395
20,20,P3,2,4,1,-450.0,-12.60412912808349,212.1789084550037,212.16252412299943,0.0,0.0,-75.0,-2.1006881880139145,-75.0,-2.1006881880139145,0.1268122980036423
22,22,P3,2,3,1,-450.0,-12.60412912808349,0.0,223.4631434030016,-42.0,-1.1763853852877924,-87.0,-2.436798298096141,-45.0,-1.2604129128083488,0.093406006002624
23,23,P3,2,6,1,-450.0,-12.60412912808349,228.78006689299943,229.01346876299797,84.0,2.3527707705755847,25.0,0.7002293960046383,-59.0,-1.6525413745709463,0.2775511479994748
24,24,P3,2,5,1,-450.0,-12.60412912808349,234.14706432200185,234.26335870500043,42.0,1.1763853852877924,-34.0,-0.952311978566308,-76.0,-2.1286973638541,0.143837498006178
25,25,P3,2,1,1,-450.0,-12.60412912808349,0.0,239.1806044039986,-126.0,-3.5291561558633773,-134.0,-3.7532295625848615,-8.0,-0.2240734067214842,-0.2391446490000817
26,26,P3,2,7,1,-450.0,-12.60412912808349,244.83039312800247,245.18032402400425,126.0,3.5291561558633773,36.0,1.008330330246679,-90.0,-2.520825825616697,0.0268694480037083
29,29,P3,3,1,1,-450.0,-12.60412912808349,0.0,340.1155861610023,-126.0,-3.5291561558633773,-123.0,-3.4451286283428204,3.0,0.0840275275205566,-0.0397120059933513
30,30,P3,3,3,1,-450.0,-12.60412912808349,0.0,345.448878342002,-42.0,-1.1763853852877924,-85.0,-2.38077994641577,-43.0,-1.2043945611279778,-0.0897151289973408
33,33,P3,3,2,1,-450.0,-12.60412912808349,0.0,361.4316475579981,-84.0,-2.3527707705755847,-112.0,-3.13702769410078,-28.0,-0.7842569235251949,-0.0062433419952867
35,35,P3,3,4,1,-450.0,-12.60412912808349,371.9153544369983,371.8983826500044,0.0,0.0,-31.0,-0.8682844510457515,-31.0,-0.8682844510457515,-0.1233241039954009
38,38,P3,3,7,1,-450.0,-12.60412912808349,387.8987768779989,388.2488098039976,126.0,3.5291561558633773,74.0,2.072679012173729,-52.0,-1.4564771436896478,0.2102241559987305
39,39,P3,3,5,1,-450.0,-12.60412912808349,393.43219419199886,393.5490779059983,42.0,1.1763853852877924,9.0,0.2520825825616697,-33.0,-0.9243028027261226,0.0937310840017744
40,40,P3,3,6,1,-450.0,-12.60412912808349,398.8489892409998,399.08230963299866,84.0,2.3527707705755847,41.0,1.1483762094476069,-43.0,-1.2043945611279778,0.3431870530039305
42,42,P3,4,5,1,-450.0,-12.60412912808349,470.6499897120011,470.7669199439988,42.0,1.1763853852877924,71.0,1.9886514846531724,29.0,0.8122660993653803,-0.0559252890016068
43,43,P3,4,7,1,-450.0,-12.60412912808349,476.233284517999,476.5833704800025,126.0,3.5291561558633773,59.0,1.6525413745709463,-67.0,-1.8766147812924308,-0.0568788769960519
44,44,P3,4,3,1,-450.0,-12.60412912808349,0.0,481.9335459950016,-42.0,-1.1763853852877924,-67.0,-1.8766147812924308,-25.0,-0.7002293960046383,-0.2730320469927392
46,46,P3,4,1,1,-450.0,-12.60412912808349,0.0,492.71694801800186,-126.0,-3.5291561558633773,-111.0,-3.1090185182605943,15.0,0.420137637602783,0.1764018920075614
47,47,P3,4,4,1,-450.0,-12.60412912808349,497.93397221500345,497.9171267429992,0.0,0.0,-41.0,-1.1483762094476069,-41.0,-1.1483762094476069,-0.0066165589960291
54,54,P3,4,2,1,-450.0,-12.60412912808349,0.0,535.2680549360011,-84.0,-2.3527707705755847,-131.0,-3.6692020350643046,-47.0,-1.31643126448872,-0.1060038739960873
55,55,P3,4,6,1,-450.0,-12.60412912808349,540.7852006859976,541.0183812949981,84.0,2.3527707705755847,29.0,0.8122660993653803,-55.0,-1.5405046712102042,-0.0564307329987059
56,56,P3,5,3,1,-450.0,-12.60412912808349,0.0,607.285646589,-42.0,-1.1763853852877924,-87.0,-2.436798298096141,-45.0,-1.2604129128083488,0.0266521860030479
58,58,P3,5,1,1,-450.0,-12.60412912808349,0.0,617.6858538250017,-126.0,-3.5291561558633773,-131.0,-3.6692020350643046,-5.0,-0.1400458792009276,0.0271621720021357
60,60,P3,5,5,1,-450.0,-12.60412912808349,628.0859565299979,628.2025680119987,42.0,1.1763853852877924,-17.0,-0.476155989283154,-59.0,-1.6525413745709463,0.0269563289984944
64,64,P3,5,6,1,-450.0,-12.60412912808349,649.8703308879994,650.1034723019984,84.0,2.3527707705755847,10.0,0.2800917584018553,-74.0,-2.072679012173729,0.1273738919990137
66,66,P3,5,7,1,-450.0,-12.60412912808349,660.454151361002,660.8039460860018,126.0,3.5291561558633773,74.0,2.072679012173729,-52.0,-1.4564771436896478,0.4271468340084539
67,67,P3,5,2,1,-450.0,-12.60412912808349,0.0,665.5529539010022,-84.0,-2.3527707705755847,-108.0,-3.0249909907400374,-24.0,-0.6722202201644528,0.1587521920082508
69,69,P3,5,4,1,-450.0,-12.60412912808349,675.753473883,675.7368088610019,0.0,0.0,-75.0,-2.1006881880139145,-75.0,-2.1006881880139145,-0.0061701639933744
70,70,P3,6,1,1,-450.0,-12.60412912808349,0.0,715.0372188059991,-126.0,-3.5291561558633773,-132.0,-3.6972112109044906,-6.0,-0.1680550550411132,-0.1233407459949376
72,72,P3,6,5,1,-450.0,-12.60412912808349,726.3375238989975,726.4541491300042,42.0,1.1763853852877924,1.0,0.0280091758401855,-41.0,-1.1483762094476069,0.0438308040102128
74,74,P3,6,4,1,-450.0,-12.60412912808349,737.1044445200023,737.087564098998,0.0,0.0,-24.0,-0.6722202201644528,-24.0,-0.6722202201644528,-0.0907688219958799
75,75,P3,6,3,1,-450.0,-12.60412912808349,0.0,742.4875868880044,-42.0,-1.1763853852877924,-86.0,-2.408789122255956,-44.0,-1.2324037369681633,-0.0398238779889652
76,76,P3,6,2,1,-450.0,-12.60412912808349,0.0,747.7049351259993,-84.0,-2.3527707705755847,-117.0,-3.2770735733017067,-33.0,-0.9243028027261226,-0.3559842850008863
77,77,P3,6,7,1,-450.0,-12.60412912808349,753.4716540200025,753.8216548199998,126.0,3.5291561558633773,5.0,0.1400458792009276,-121.0,-3.389110276662449,0.1438975870041758
78,78,P3,6,6,1,-450.0,-12.60412912808349,759.088980999004,759.3220359140032,84.0,2.3527707705755847,21.0,0.5881926926438962,-63.0,-1.7645780779316886,0.1435725610062945
84,84,P3,7,7,1,-450.0,-12.60412912808349,819.1388921160033,819.4886999099981,126.0,3.5291561558633773,123.0,3.4451286283428204,-3.0,-0.0840275275205566,-0.2414175390003947
86,86,P3,7,3,1,-450.0,-12.60412912808349,0.0,830.4221757999985,-42.0,-1.1763853852877924,-51.0,-1.4284679678494618,-9.0,-0.2520825825616697,-0.1066394719964591
88,88,P3,7,2,1,-450.0,-12.60412912808349,0.0,841.2228058769979,-84.0,-2.3527707705755847,-100.0,-2.800917584018553,-16.0,-0.4481468134429685,0.176698055001907
89,89,P3,7,5,1,-450.0,-12.60412912808349,846.4560094789995,846.5725175640036,42.0,1.1763853852877924,-13.0,-0.3641192859224119,-55.0,-1.5405046712102042,0.1437697150031454
91,91,P3,7,6,1,-450.0,-12.60412912808349,856.9731846380018,857.2066214919978,84.0,2.3527707705755847,16.0,0.4481468134429685,-68.0,-1.904623957132616,0.0434962159997667
96,96,P3,7,4,1,-450.0,-12.60412912808349,883.523200743999,883.5066787870019,0.0,0.0,-22.0,-0.6162018684840816,-22.0,-0.6162018684840816,0.0273245490025146
97,97,P3,7,1,1,-450.0,-12.60412912808349,0.0,888.5398417539982,-126.0,-3.5291561558633773,-133.0,-3.725220386744676,-7.0,-0.1960642308812987,-0.0068823649999103
98,98,P3,8,3,1,-450.0,-12.60412912808349,0.0,967.908822258003,-42.0,-1.1763853852877924,-83.0,-2.3247615947353992,-41.0,-1.1483762094476069,-0.2889451639930485
101,101,P3,8,6,1,-450.0,-12.60412912808349,983.8245923779978,984.058336973998,84.0,2.3527707705755847,-17.0,-0.476155989283154,-101.0,-2.828926759858738,0.0601856030043563
103,103,P3,8,4,1,-450.0,-12.60412912808349,994.8916186130008,994.875089965004,0.0,0.0,-44.0,-1.2324037369681633,-44.0,-1.2324037369681633,0.0269661030106362
104,104,P3,8,7,1,-450.0,-12.60412912808349,1000.2581150550031,1000.6084012010032,126.0,3.5291561558633773,39.0,1.0923578577672357,-87.0,-2.436798298096141,0.1269064540028921
107,107,P3,8,1,1,-450.0,-12.60412912808349,0.0,1016.3419031540034,-126.0,-3.5291561558633773,-142.0,-3.977302969306345,-16.0,-0.4481468134429685,-0.3564674419903895
109,109,P3,8,5,1,-450.0,-12.60412912808349,1027.2919197770025,1027.4086744710005,42.0,1.1763853852877924,-44.0,-1.2324037369681633,-86.0,-2.408789122255956,0.126662959002715
111,111,P3,8,2,1,-450.0,-12.60412912808349,0.0,1038.375593278004,-84.0,-2.3527707705755847,-116.0,-3.249064397461521,-32.0,-0.896293626885937,-0.1398287289921427
112,112,P3,9,5,1,-450.0,-12.60412912808349,1074.343877863001,1074.4604430559991,42.0,1.1763853852877924,60.0,1.680550550411132,18.0,0.5041651651233395,0.2434957380028208
113,113,P3,9,7,1,-450.0,-12.60412912808349,1079.6273072420008,1079.9770664579992,126.0,3.5291561558633773,43.0,1.2043945611279778,-83.0,-2.3247615947353992,0.094203215005109
117,117,P3,9,2,1,-450.0,-12.60412912808349,0.0,1101.2098949790015,-84.0,-2.3527707705755847,-126.0,-3.5291561558633773,-42.0,-1.1763853852877924,-0.4246259289939189
119,119,P3,9,4,1,-450.0,-12.60412912808349,1112.4601110970034,1112.4434595839994,0.0,0.0,-41.0,-1.1483762094476069,-41.0,-1.1483762094476069,0.1603377729989006
121,121,P3,9,3,1,-450.0,-12.60412912808349,0.0,1122.7268886829988,-42.0,-1.1763853852877924,-109.0,-3.053000166580223,-67.0,-1.8766147812924308,-0.173346251998737
123,123,P3,9,1,1,-450.0,-12.60412912808349,0.0,1133.593743907004,-126.0,-3.5291561558633773,-143.0,-4.005312145146531,-17.0,-0.476155989283154,-0.0732853429944953
124,124,P3,9,6,1,-450.0,-12.60412912808349,1139.0603637610038,1139.2935989120017,84.0,2.3527707705755847,-20.0,-0.5601835168037107,-104.0,-2.9129542873792955,0.060136099004012
129,129,P3,10,4,1,-450.0,-12.60412912808349,1198.1781768049989,1198.1613667909987,0.0,0.0,-34.0,-0.952311978566308,-34.0,-0.952311978566308,0.1602199230037513
131,131,P3,10,3,1,-450.0,-12.60412912808349,0.0,1209.1950023149984,-42.0,-1.1763853852877924,-86.0,-2.408789122255956,-44.0,-1.2324037369681633,-0.0061935269986861
132,132,P3,10,7,1,-450.0,-12.60412912808349,1214.6116199390017,1214.9613967480036,126.0,3.5291561558633773,42.0,1.1763853852877924,-84.0,-2.3527707705755847,0.2265137630092795
133,133,P3,10,5,1,-450.0,-12.60412912808349,1220.1283797880023,1220.2450230320028,42.0,1.1763853852877924,-23.0,-0.6442110443242672,-65.0,-1.8205964296120596,0.3099415100077749
134,134,P3,10,2,1,-450.0,-12.60412912808349,0.0,1225.0951012959997,-84.0,-2.3527707705755847,-127.0,-3.5571653317035623,-43.0,-1.2043945611279778,0.2435261540013016
135,135,P3,10,6,1,-450.0,-12.60412912808349,1230.2451341729975,1230.4784999010008,84.0,2.3527707705755847,-23.0,-0.6442110443242672,-107.0,-2.996981814899852,0.0769767240053624
138,138,P3,10,1,1,-450.0,-12.60412912808349,0.0,1246.245460181999,-126.0,-3.5291561558633773,-139.0,-3.893275441785789,-13.0,-0.3641192859224119,0.1097774190056952
142,142,P3,11,4,1,-450.0,-12.60412912808349,1300.3631390490043,1300.346317731004,0.0,0.0,-26.0,-0.7282385718448239,-26.0,-0.7282385718448239,0.1270502350089373
143,143,P3,11,2,1,-450.0,-12.60412912808349,0.0,1305.3964394950017,-84.0,-2.3527707705755847,-122.0,-3.417119452502635,-38.0,-1.06434868192705,0.110430417007592
144,144,P3,11,5,1,-450.0,-12.60412912808349,1310.696366465003,1310.8130361630028,42.0,1.1763853852877924,-23.0,-0.6442110443242672,-65.0,-1.8205964296120596,0.0599455830088118
145,145,P3,11,3,1,-450.0,-12.60412912808349,0.0,1316.0465147939976,-42.0,-1.1763853852877924,-91.0,-2.5488350014568835,-49.0,-1.3724496161690911,0.026504264002142
148,148,P3,11,6,1,-450.0,-12.60412912808349,1332.1131762799996,1332.346704380005,84.0,2.3527707705755847,50.0,1.4004587920092766,-34.0,-0.952311978566308,0.1765802370064193
149,149,P3,11,1,1,-450.0,-12.60412912808349,0.0,1337.2135777650035,-126.0,-3.5291561558633773,-144.0,-4.033321320986716,-18.0,-0.5041651651233395,-0.0069810629938729
153,153,P3,11,7,1,-450.0,-12.60412912808349,1358.3303519309993,1358.6803511090038,126.0,3.5291561558633773,85.0,2.38077994641577,-41.0,-1.1483762094476069,0.2599564710035338
156,156,P3,12,5,1,-450.0,-12.60412912808349,1406.880995902,1406.998002033004,42.0,1.1763853852877924,24.0,0.6722202201644528,-18.0,-0.5041651651233395,0.2106101150056929
160,160,P3,12,2,1,-450.0,-12.60412912808349,0.0,1427.9481956669988,-84.0,-2.3527707705755847,-114.0,-3.1930460457811503,-30.0,-0.840275275205566,0.1101443750012549
161,161,P3,12,4,1,-450.0,-12.60412912808349,1433.231474307002,1433.2149822930005,0.0,0.0,-5.0,-0.1400458792009276,-5.0,-0.1400458792009276,0.1938462680045631
162,162,P3,12,1,1,-450.0,-12.60412912808349,0.0,1438.0651403880038,-126.0,-3.5291561558633773,-144.0,-4.033321320986716,-18.0,-0.5041651651233395,0.1430164960038382
163,163,P3,12,3,1,-450.0,-12.60412912808349,0.0,1443.1984516410012,-42.0,-1.1763853852877924,-73.0,-2.044669836333544,-31.0,-0.8682844510457515,0.1102865530046983
164,164,P3,12,6,1,-450.0,-12.60412912808349,1448.481988642001,1448.7152507670037,84.0,2.3527707705755847,56.0,1.56851384705039,-28.0,-0.7842569235251949,0.1106056540083955
166,166,P3,12,7,1,-450.0,-12.60412912808349,1459.2986226130015,1459.6484470470025,126.0,3.5291561558633773,63.0,1.7645780779316886,-63.0,-1.7645780779316886,0.2102782630026922
0,0,P4,1,7,1,-450.0,-12.60412912808349,70.9190841249947,71.26878830199712,126.0,3.5291561558633773,-67.0,-1.8766147812924308,-193.0,-5.405770937155808,-1.402851440005179
1,1,P4,1,5,1,-450.0,-12.60412912808349,77.98600216499472,78.10286558299413,42.0,1.1763853852877924,54.0,1.5124954953700187,12.0,0.3361101100822264,-0.7520526320076897
3,3,P4,1,4,1,-450.0,-12.60412912808349,91.33598672199878,91.31979741499526,0.0,0.0,-78.0,-2.1847157155344714,-78.0,-2.1847157155344714,-1.6688539640017552
5,5,P4,1,2,1,-450.0,-12.60412912808349,0.0,103.98152659300104,-84.0,-2.3527707705755847,-71.0,-1.9886514846531724,13.0,0.3641192859224119,-0.4530476119980449
8,8,P4,1,6,1,-450.0,-12.60412912808349,120.31914675200096,120.55174579999584,84.0,2.3527707705755847,10.0,0.2800917584018553,-74.0,-2.072679012173729,-1.0205315350031017
9,9,P4,1,1,1,-450.0,-12.60412912808349,0.0,126.55238091299545,-126.0,-3.5291561558633773,-116.0,-3.249064397461521,10.0,0.2800917584018553,-0.319284751007217
10,10,P4,1,3,1,-450.0,-12.60412912808349,0.0,132.08517307299917,-42.0,-1.1763853852877924,-113.0,-3.165036869940965,-71.0,-1.9886514846531724,-1.1366472660010911
17,17,P4,2,5,1,-450.0,-12.60412912808349,207.5352230629942,207.65196393899527,42.0,1.1763853852877924,-56.0,-1.56851384705039,-98.0,-2.7448992323381822,-0.3356648040062282
18,18,P4,2,2,1,-450.0,-12.60412912808349,0.0,213.0856593099961,-84.0,-2.3527707705755847,-105.0,-2.940963463219481,-21.0,-0.5881926926438962,-0.5689467219999642
20,20,P4,2,1,1,-450.0,-12.60412912808349,0.0,224.15217776499776,-126.0,-3.5291561558633773,-120.0,-3.361101100822264,6.0,0.1680550550411132,-0.3532558920051087
21,21,P4,2,3,1,-450.0,-12.60412912808349,0.0,229.71891579400108,-42.0,-1.1763853852877924,-65.0,-1.8205964296120596,-23.0,-0.6442110443242672,-0.3025621009946917
22,22,P4,2,4,1,-450.0,-12.60412912808349,235.3519244470008,235.33599418499944,0.0,0.0,-93.0,-2.6048533531372544,-93.0,-2.6048533531372544,-0.3029667340015294
24,24,P4,2,6,1,-450.0,-12.60412912808349,246.08603067399963,246.3190022869967,84.0,2.3527707705755847,-55.0,-1.5405046712102042,-139.0,-3.893275441785789,-0.4695464820033521
27,27,P4,2,7,1,-450.0,-12.60412912808349,263.0692726790003,263.4194447379996,126.0,3.5291561558633773,38.0,1.06434868192705,-88.0,-2.4648074739363266,-0.3848214030003873
30,30,P4,3,1,1,-450.0,-12.60412912808349,0.0,306.9853174269956,-126.0,-3.5291561558633773,-130.0,-3.641192859224119,-4.0,-0.1120367033607421,-0.1194519380005658
31,31,P4,3,7,1,-450.0,-12.60412912808349,312.41883213899564,312.7688433689982,126.0,3.5291561558633773,-13.0,-0.3641192859224119,-139.0,-3.893275441785789,-0.3858031420022598
33,33,P4,3,6,1,-450.0,-12.60412912808349,323.9188500140008,324.1527428400004,84.0,2.3527707705755847,-78.0,-2.1847157155344714,-162.0,-4.537486486110057,-0.3190976319965557
35,35,P4,3,3,1,-450.0,-12.60412912808349,0.0,335.2023286399999,-42.0,-1.1763853852877924,-102.0,-2.856935935698924,-60.0,-1.680550550411132,0.0964445100034936
39,39,P4,3,5,1,-450.0,-12.60412912808349,358.8192900489957,358.93608338699414,42.0,1.1763853852877924,-34.0,-0.952311978566308,-76.0,-2.1286973638541,0.0475493709964212
40,40,P4,3,2,1,-450.0,-12.60412912808349,0.0,363.9864289769976,-84.0,-2.3527707705755847,-117.0,-3.2770735733017067,-33.0,-0.9243028027261226,-0.1194991970041883
41,41,P4,3,4,1,-450.0,-12.60412912808349,369.45337551600096,369.4369916229989,0.0,0.0,-58.0,-1.6245321987307606,-58.0,-1.6245321987307606,0.0813826939993305
45,45,P4,4,7,1,-450.0,-12.60412912808349,420.66979944799823,421.01982025499456,126.0,3.5291561558633773,-1.0,-0.0280091758401855,-127.0,-3.5571653317035623,0.0973115749948192
47,47,P4,4,6,1,-450.0,-12.60412912808349,431.0866676549995,431.3183749529999,84.0,2.3527707705755847,-7.0,-0.1960642308812987,-91.0,-2.5488350014568835,-0.2697606340007041
48,48,P4,4,2,1,-450.0,-12.60412912808349,0.0,436.6868263819997,-84.0,-2.3527707705755847,-115.0,-3.221055221621336,-31.0,-0.8682844510457515,-0.1020223379964591
49,49,P4,4,5,1,-450.0,-12.60412912808349,442.1198771299969,442.2359093679988,42.0,1.1763853852877924,-106.0,-2.9689726390596665,-148.0,-4.145358024347458,-0.1532244999980321
