,Unnamed: 0,participant,block,trial,direction,start_pos,start_pos_deg,t_start,t_end,stop_pos,stop_pos_deg,pos_pressed,pos_pressed_deg,error,error_deg,rt
1,1,P3,1,7,2,450.0,12.60412912808349,0.0,53.22655954799848,-126.0,3.5291561558633773,115.0,3.221055221621336,11.0,0.3081009342420408,-0.3394689259948791
3,3,P3,1,2,2,450.0,12.60412912808349,64.77668287900451,65.01006760800374,84.0,-2.3527707705755847,14.0,0.3921284617625974,-98.0,-2.7448992323381822,-0.2061540019931271
4,4,P3,1,4,2,450.0,12.60412912808349,70.61026711600425,70.59335017500416,-0.0,0.0,61.0,1.7085597262513177,-61.0,-1.7085597262513177,-0.2231447019948973
5,5,P3,1,6,2,450.0,12.60412912808349,0.0,75.97701879800297,-84.0,2.3527707705755847,126.0,3.5291561558633773,-42.0,-1.1763853852877924,-0.2065892609971342
6,6,P3,1,3,2,450.0,12.60412912808349,81.57687849899958,81.69362765199912,42.0,-1.1763853852877924,-14.0,-0.3921284617625974,-28.0,-0.7842569235251949,-0.407249887000944
8,8,P3,1,5,2,450.0,12.60412912808349,0.0,92.79374535500392,-42.0,1.1763853852877924,74.0,2.072679012173729,-32.0,-0.896293626885937,-0.0727716149922343
9,9,P3,1,1,2,450.0,12.60412912808349,98.26049667900224,98.61072738200164,126.0,-3.5291561558633773,-20.0,-0.5601835168037107,-106.0,-2.9689726390596665,-0.0727681159987696
14,14,P3,2,3,2,450.0,12.60412912808349,180.6787747319977,180.79533801999787,42.0,-1.1763853852877924,-22.0,-0.6162018684840816,-20.0,-0.5601835168037107,0.0103224019985646
16,16,P3,2,4,2,450.0,12.60412912808349,191.81205282999872,191.7953762600009,-0.0,0.0,3.0,0.0840275275205566,-3.0,-0.0840275275205566,0.1092663700037519
17,17,P3,2,6,2,450.0,12.60412912808349,0.0,196.8457289700018,-84.0,2.3527707705755847,113.0,3.165036869940965,-29.0,-0.8122660993653803,0.1264184910032781
18,18,P3,2,5,2,450.0,12.60412912808349,0.0,201.99553131299763,-42.0,1.1763853852877924,69.0,1.9326331329728017,-27.0,-0.7562477476850094,0.2436912170014693
19,19,P3,2,7,2,450.0,12.60412912808349,0.0,206.79554134800128,-126.0,3.5291561558633773,129.0,3.613183683383933,-3.0,-0.0840275275205566,0.026385104007204
21,21,P3,2,1,2,450.0,12.60412912808349,217.44594048400177,217.795785565002,126.0,-3.5291561558633773,-2.0,-0.056018351680371,-124.0,-3.473137804183006,-0.3729214989944012
